first_name,last_name,email,Remaining_Goal_Amount
Orso,Jund,ojund@gmail.com,8362.00
Lavinia,Heppenheimer,lheppenheimer@live.com,41198.00
Said,Johnson,sjohnson@protonmail.com,71872.00
Arnaldo,Waters,awaters@protonmail.com,3739.00
Gino,Brady,gbrady@yandex.com,1559.00
Manfred,Hernandez,mhernandez@live.com,153288.00
Severiano,Harrell,sharrell@outlook.com,88154.00
Robin,Boyd,rboyd@yandex.com,98164.00
Ethann,Biermann,ebiermann@protonmail.com,72323.00
Rufino,Tyson,rtyson@gmail.com,151747.00
Alexander,Hernandez,ahernandez@yandex.com,1503.00
Harold,Nicoli,hnicoli@live.com,40291.00
Zaira,Carver,zcarver@outlook.com,3768.00
Zelda,Dennis,zdennis@protonmail.com,426.00
